nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Henri-Achille Zo,1873-12-02T00:00:00Z,1933-09-09T00:00:00Z,France,Bayonne,Onesse-Laharie,
Guillaume Bodinier,1795-02-09T00:00:00Z,1872-08-24T00:00:00Z,France,Angers,Angers,
Valentin de Boulogne,1591-01-03T00:00:00Z,1632-08-19T00:00:00Z,"royaume de France,royaume de France",Coulommiers,Rome,ténébrisme
Jean-Paul Laurens,1838-03-28T00:00:00Z,1921-03-23T00:00:00Z,France,Fourquevaux,14e arrondissement de Paris,art académique
Tsugouharu Foujita,1886-11-27T00:00:00Z,1968-01-29T00:00:00Z,"Japon,France,Japon,France",Tokyo,Zurich,expressionnisme
Philippe Rousseau,1816-02-22T00:00:00Z,1887-12-05T00:00:00Z,France,Paris,Acquigny,
Charles Poerson,1609-01-01T00:00:00Z,1667-03-05T00:00:00Z,France,Vic-sur-Seille,Paris,
Joseph Beaume,1796-09-24T00:00:00Z,1885-09-11T00:00:00Z,France,Marseille,10e arrondissement de Paris,
Eugène Delaplanche,1836-02-28T00:00:00Z,1891-01-10T00:00:00Z,"France,France",Belleville,Paris,
Jules Jacques Labatut,1851-07-30T00:00:00Z,1935-01-01T00:00:00Z,France,Toulouse,Biarritz,
Henri Royer,1869-01-22T00:00:00Z,1938-10-31T00:00:00Z,France,Nancy,Neuilly-sur-Seine,École de Nancy
Pierre Maurois,,,France,,,
Carel Pietersz Fabritius,1622-02-27T00:00:00Z,1654-10-12T00:00:00Z,"Pays-Bas,Pays-Bas",Middenbeemster,Delft,baroque
Jehan Perréal,1450-01-01T00:00:00Z,1530-01-01T00:00:00Z,"royaume de France,royaume de France",Lyon,Paris,
Pieter Lastman,1583-01-01T00:00:00Z,1633-01-01T00:00:00Z,Pays-Bas,Amsterdam,Amsterdam,
François-Gabriel Lépaulle,1804-01-21T00:00:00Z,1886-01-01T00:00:00Z,France,Versailles,Ay,
Jean-Baptiste-Ange Tissier,1814-03-06T00:00:00Z,1876-04-04T00:00:00Z,France,Paris,Nice,romantisme
Joseph Wright,1734-09-03T00:00:00Z,1797-08-29T00:00:00Z,royaume de Grande-Bretagne,Derby,Derby,
Jean-Baptiste Debret,1768-04-18T00:00:00Z,1848-06-28T00:00:00Z,France,Paris,Paris,néo-classicisme
Eugène Le Poittevin,1806-07-31T00:00:00Z,1870-08-06T00:00:00Z,France,Paris,Paris,
Jean-Baptiste Le Prince,1734-09-17T00:00:00Z,1781-09-30T00:00:00Z,France,Metz,Lagny-sur-Marne,
Charles-Philippe Larivière,1798-09-28T00:00:00Z,1876-02-29T00:00:00Z,France,Paris,Paris,néo-classicisme
Alexandre-Évariste Fragonard,1780-10-26T00:00:00Z,1850-11-11T00:00:00Z,France,Grasse,Paris,style troubadour
John Constable,1776-06-11T00:00:00Z,1837-03-31T00:00:00Z,"Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne",East Bergholt,Charlotte Street,romantisme
John Constable,1776-06-11T00:00:00Z,1837-03-31T00:00:00Z,"royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande",East Bergholt,Charlotte Street,romantisme
Daniel Sarrabat,1666-01-01T00:00:00Z,1748-06-21T00:00:00Z,France,Paris,Lyon,
Arthur Grimaud,1784-09-14T00:00:00Z,1869-01-01T00:00:00Z,France,Saint-Louis,Saint-Paul,
Vincent Courdouan,1810-03-07T00:00:00Z,1893-12-08T00:00:00Z,France,Toulon,Toulon,
Jacob van Loo,1614-01-01T00:00:00Z,1670-11-26T00:00:00Z,"France,Provinces-Unies",L'Écluse,Paris,âge d'or de la peinture néerlandaise
Guido Reni,1575-11-04T00:00:00Z,1642-08-18T00:00:00Z,États pontificaux,Bologne,Bologne,baroque
Johann Rudolf Huber,1668-04-21T00:00:00Z,1748-02-28T00:00:00Z,Suisse,Bâle,Bâle,
André Jolivard,1787-09-15T00:00:00Z,1851-12-08T00:00:00Z,France,Le Mans,Paris,
Georges Lacombe,1868-06-18T00:00:00Z,1916-06-29T00:00:00Z,France,Versailles,Alençon,nabi
Antoine Renou,1731-01-01T00:00:00Z,1806-12-13T00:00:00Z,France,Paris,Paris,
Édouard Debat-Ponsan,1847-04-25T00:00:00Z,1913-01-29T00:00:00Z,France,Toulouse,Paris,art académique
François Gérard,1770-05-04T00:00:00Z,1837-01-11T00:00:00Z,France,Rome,Paris,
Achille Zo,1826-07-30T00:00:00Z,1901-03-02T00:00:00Z,France,Bayonne,Bordeaux,
Julie Volpelière,1783-01-01T00:00:00Z,1842-11-07T00:00:00Z,France,Marseille,Paris,
Gilles Guérin,1611-01-01T00:00:00Z,1678-02-26T00:00:00Z,France,Paris,Paris,
Eugène Laermans,1864-10-22T00:00:00Z,1940-02-22T00:00:00Z,Belgique,Molenbeek-Saint-Jean,Bruxelles,
Claude Pollet,,,France,,,
Marcellin Desboutin,1823-08-26T00:00:00Z,1902-02-18T00:00:00Z,France,Cérilly,Nice,
Gabriel Robin,1902-05-28T00:00:00Z,1970-07-28T00:00:00Z,France,Nantes,Aulnay-sous-Bois,École de Paris
Sebastiano del Piombo,1485-01-01T00:00:00Z,1547-07-01T00:00:00Z,"république de Venise,république de Venise",Venise,Rome,maniérisme
Jules-Alexis Muenier,1863-11-29T00:00:00Z,1942-12-17T00:00:00Z,France,Lyon,Coulevon,
Lorenzo Lotto,1480-01-01T00:00:00Z,1557-01-01T00:00:00Z,"république de Venise,république de Venise,république de Venise,république de Venise",Venise,Loreto,maniérisme
Adriaen van de Velde,1636-11-30T00:00:00Z,1672-01-21T00:00:00Z,"Pays-Bas,Pays-Bas",Amsterdam,Amsterdam,
Jean Biard,,,France,,,
George Hendrik Breitner,1857-09-12T00:00:00Z,1924-01-01T00:00:00Z,"Pays-Bas,Pays-Bas,Pays-Bas,Pays-Bas",Rotterdam,Amsterdam,École de la Haye
Jean-Étienne Liotard,1702-12-22T00:00:00Z,1789-06-12T00:00:00Z,République de Genève,Genève,Genève,
Louis de Silvestre,1675-06-23T00:00:00Z,1760-04-11T00:00:00Z,France,Sceaux,Paris,
Aertgen van Leyden,1498-01-01T00:00:00Z,1564-01-01T00:00:00Z,Pays-Bas,Leyde,Leyde,
Antoine Coypel,1661-04-11T00:00:00Z,1722-01-07T00:00:00Z,France,Paris,Paris,
Diogène Maillart,1840-10-28T00:00:00Z,1926-07-31T00:00:00Z,France,Lachaussée-du-Bois-d'Écu,6e arrondissement de Paris,
Auguste Rodin,1840-11-13T00:00:00Z,1917-11-17T00:00:00Z,"France,France",Paris,Meudon,art moderne
Jean-Baptiste II Lemoyne,1704-02-15T00:00:00Z,1778-05-25T00:00:00Z,France,Paris,Paris,
Alexandre Schoenewerk,1820-02-18T00:00:00Z,1885-07-22T00:00:00Z,France,Paris,15e arrondissement de Paris,
François Lespingola,1644-01-01T00:00:00Z,1705-07-16T00:00:00Z,France,Joinville,Paris,
Noël Coypel,1628-12-25T00:00:00Z,1707-12-24T00:00:00Z,France,Paris,Paris,
Michel Anguier,1612-09-28T00:00:00Z,1686-07-11T00:00:00Z,France,Eu,Paris,
Paul Gauguin,1848-06-07T00:00:00Z,1903-05-09T00:00:00Z,"France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France",Paris,Fatu-Hiva,symbolisme
Bernardo Francesco Paolo Ernesto Bellotto,1722-05-20T00:00:00Z,1780-10-17T00:00:00Z,"république de Venise,république de Venise,république de Venise,république de Venise,république de Venise,république de Venise",Venise,Varsovie,
Charles-François Lebœuf,1792-08-10T00:00:00Z,1865-11-01T00:00:00Z,"France,France",Paris,6e arrondissement de Paris,
Bernard Lange,1754-08-07T00:00:00Z,1839-05-28T00:00:00Z,France,Toulouse,ancien 4e arrondissement de Paris,néo-classicisme
Jean Arp,1888-09-16T00:00:00Z,1966-06-07T00:00:00Z,"France,France,France,Allemagne,Allemagne,Allemagne",Strasbourg,Bâle,Dada
Paul Leroy,1860-12-27T00:00:00Z,1942-01-01T00:00:00Z,France,10e arrondissement de Paris,Paris,
Henri-François Riesener,1767-10-19T00:00:00Z,1828-02-07T00:00:00Z,France,Paris,Paris,néo-classicisme
François Guiguet,1860-01-08T00:00:00Z,1937-09-03T00:00:00Z,France,Isère,Isère,
Joseph-Benoît Suvée,1743-01-03T00:00:00Z,1807-02-09T00:00:00Z,"France,Pays-Bas méridionaux",Bruges,Rome,néo-classicisme
José Júlio de Souza Pinto,1856-09-15T00:00:00Z,1939-04-14T00:00:00Z,Portugal,Angra do Heroísmo,Pont-Scorff,réalisme
Alfred Chataud,1833-08-17T00:00:00Z,1908-05-11T00:00:00Z,France,Marseille,Alger,
Alexis Bafcop,1804-11-06T00:00:00Z,1895-02-09T00:00:00Z,France,Cassel,Cassel,
Charles-Joseph Natoire,1700-03-03T00:00:00Z,1777-08-29T00:00:00Z,"France,France",Nîmes,Castel Gandolfo,rococo
Alfred Manessier,1911-12-05T00:00:00Z,1993-08-01T00:00:00Z,France,Saint-Ouen,Orléans,
Eugène Murer,1845-05-20T00:00:00Z,1906-04-22T00:00:00Z,"France,France,France,France,France,France,France,France",Moulins,Auvers-sur-Oise,impressionnisme
Markus Lüpertz,,,Allemagne,,,
Eugène Deshayes,1828-01-01T00:00:00Z,1891-03-30T00:00:00Z,"France,France",Paris,18e arrondissement de Paris,
Antoine Coysevox,1640-09-29T00:00:00Z,1720-10-10T00:00:00Z,France,Lyon,Paris,baroque
Hippolyte Bonnardel,1824-01-14T00:00:00Z,1856-07-02T00:00:00Z,France,Bonnay,Rome,
Jakob Philipp Hackert,1737-09-15T00:00:00Z,1807-04-28T00:00:00Z,"Allemagne,Allemagne,Allemagne,Allemagne",Prenzlau,Careggi,classicisme
Charles Porphyre Alexandre Desains,1789-05-28T00:00:00Z,1862-12-14T00:00:00Z,France,Lille,Paris,
Claude-Clair Francin,1702-06-05T00:00:00Z,1773-03-18T00:00:00Z,France,Strasbourg,Bourg-la-Reine,
Jean Pezous,1815-03-06T00:00:00Z,1885-04-18T00:00:00Z,France,Toulon,Paris,
Louis Galloche,1670-08-24T00:00:00Z,1761-07-21T00:00:00Z,France,Paris,Paris,
Malcolm Morley,1931-06-07T00:00:00Z,2018-06-01T00:00:00Z,"États-Unis,Royaume-Uni,États-Unis,Royaume-Uni",Londres,New York,art contemporain
Eugène Antoine Durenne,,,France,,,postimpressionnisme
Ernest Michel,1833-07-30T00:00:00Z,1902-05-28T00:00:00Z,France,Montpellier,Montpellier,
Charles François Lacroix de Marseille,1700-01-01T00:00:00Z,1782-11-01T00:00:00Z,"France,France",Marseille,Berlin,
Piero della Francesca,1416-01-01T00:00:00Z,1492-10-21T00:00:00Z,"Italie,Italie",Sansepolcro,Sansepolcro,Première Renaissance
Bon Boullogne,1649-02-22T00:00:00Z,1717-05-17T00:00:00Z,France,Paris,Paris,
Claude Dejoux,1732-01-23T00:00:00Z,1816-10-18T00:00:00Z,France,Vadans,Paris,
Max G. Kaminski,,,Allemagne,,,
Quentin Varin,1570-01-01T00:00:00Z,1626-01-01T00:00:00Z,France,Beauvais,Paris,
Auguste Clésinger,1814-10-22T00:00:00Z,1883-01-05T00:00:00Z,France,Besançon,Paris,romantisme
Frédéric Auguste Bartholdi,1834-08-02T00:00:00Z,1904-10-04T00:00:00Z,France,Colmar,Portugal,
Luc-Olivier Merson,1846-05-21T00:00:00Z,1920-11-14T00:00:00Z,"France,France",Paris,5e arrondissement de Paris,art académique
François Hippolyte Lalaisse,1810-01-27T00:00:00Z,1884-03-13T00:00:00Z,France,Nancy,6e arrondissement de Paris,
Jean-François Colson,1733-03-02T00:00:00Z,1803-03-01T00:00:00Z,France,Dijon,Paris,
Hans Reichel,1892-08-09T00:00:00Z,1958-12-07T00:00:00Z,France,Wurtzbourg,Paris,
Étienne Moreau-Nélaton,1859-12-02T00:00:00Z,1927-04-25T00:00:00Z,France,Paris,Paris,
Anicet Charles Gabriel Lemonnier,1743-06-06T00:00:00Z,1824-08-17T00:00:00Z,France,Rouen,Paris,
Roelant Savery,1576-01-01T00:00:00Z,1639-02-25T00:00:00Z,"Flandre-Occidentale,Flandre-Occidentale,Provinces-Unies,Provinces-Unies",Courtrai,Utrecht,âge d'or de la peinture néerlandaise
Pierre Gobert,1662-01-01T00:00:00Z,1744-02-13T00:00:00Z,France,Fontainebleau,Paris,
Carl Christian Constantin Hansen,1804-11-03T00:00:00Z,1880-03-29T00:00:00Z,Danemark,Rome,Copenhague,âge d'or danois
Giorgio de Chirico,1888-07-10T00:00:00Z,1978-11-20T00:00:00Z,"Italie,Italie,Grèce,Grèce",Vólos,Rome,peinture métaphysique
Jean-Baptiste Claudot,1733-09-10T00:00:00Z,1805-12-27T00:00:00Z,France,Badonviller,Nancy,
Alexandre Desgoffe,1805-03-02T00:00:00Z,1882-07-27T00:00:00Z,France,Paris,Paris,
Émile Bernard,1868-04-28T00:00:00Z,1941-04-16T00:00:00Z,"France,France,France,France,France,France",Lille,Paris,orientalisme
Adolphe Joseph Thomas Monticelli,1824-10-14T00:00:00Z,1886-06-29T00:00:00Z,France,Marseille,Marseille,
Adolphe Joseph Thomas Monticelli,1824-10-14T00:00:00Z,1886-06-29T00:00:00Z,"France,France",Marseille,Marseille,
Peter Vilhelm Ilsted,1861-02-14T00:00:00Z,1933-04-16T00:00:00Z,Danemark,Sakskøbing,Copenhague,
Charles Antoine Coypel,1694-07-11T00:00:00Z,1752-06-16T00:00:00Z,"France,France",Paris,Paris,
Hans Holbein,1497-01-01T00:00:00Z,1543-12-09T00:00:00Z,Allemagne,Augsbourg,Londres,Renaissance allemande
Émile Friant,1863-04-16T00:00:00Z,1932-06-09T00:00:00Z,France,Dieuze,Paris,École de Nancy
Jacques Sarrazin,1592-01-01T00:00:00Z,1660-12-03T00:00:00Z,France,Noyon,Paris,baroque
Henry de Triqueti,1803-10-24T00:00:00Z,1874-05-11T00:00:00Z,France,Conflans-sur-Loing,Paris,
Jean-Victor Schnetz,1787-04-14T00:00:00Z,1870-03-15T00:00:00Z,France,Versailles,Paris,
Edwin Henry Landseer,1802-03-07T00:00:00Z,1873-10-01T00:00:00Z,Royaume-Uni de Grande-Bretagne et d'Irlande,Londres,Londres,
Enguerrand Quarton,1411-01-01T00:00:00Z,1466-01-01T00:00:00Z,France,Laon,Avignon,
Jean-Pierre Houël,1735-06-28T00:00:00Z,1813-11-14T00:00:00Z,France,Rouen,Paris,
Pierre Mazeline,1633-01-01T00:00:00Z,1708-02-07T00:00:00Z,France,Rouen,Paris,
Ernest Hébert,1817-11-03T00:00:00Z,1908-12-05T00:00:00Z,France,Grenoble,La Tronche,
Tancrède Bastet,1858-04-16T00:00:00Z,1942-05-12T00:00:00Z,France,Isère,Grenoble,
Eugénie Servières,1786-01-01T00:00:00Z,1855-03-20T00:00:00Z,France,Paris,10e arrondissement de Paris,
Jules-Élie Delaunay,1828-06-13T00:00:00Z,1891-09-05T00:00:00Z,"France,France",Nantes,Paris,
Anton Mauve,1838-09-18T00:00:00Z,1888-02-05T00:00:00Z,Pays-Bas,Zaandam,Arnhem,École de la Haye
Gustave Stoskopf,1869-07-08T00:00:00Z,1944-12-06T00:00:00Z,France,Brumath,Brumath,
趙無極,1920-02-01T00:00:00Z,2013-04-09T00:00:00Z,"France,République de Chine",Pékin,Nyon,
Ferdinand Humbert,1842-10-08T00:00:00Z,1934-10-07T00:00:00Z,France,Paris,Paris,
Louis Albert Guislain Bacler d'Albe,1761-10-21T00:00:00Z,1824-09-12T00:00:00Z,France,Saint-Pol-sur-Ternoise,Sèvres,
Othon Friesz,1879-02-06T00:00:00Z,1949-01-10T00:00:00Z,France,Le Havre,Paris,postimpressionnisme
François Antommarchi,1789-07-05T00:00:00Z,1838-04-03T00:00:00Z,France,Morsiglia,Santiago de Cuba,
Fernand Cormon,1845-12-24T00:00:00Z,1924-03-20T00:00:00Z,France,Paris,Paris,art académique
Sophie Taeuber-Arp,1889-01-19T00:00:00Z,1943-01-13T00:00:00Z,Suisse,Davos,Zurich,Dada
Henri Émilien Rousseau,1875-12-17T00:00:00Z,1933-03-28T00:00:00Z,France,Le Caire,Aix-en-Provence,
Georges Michel,1763-01-12T00:00:00Z,1843-06-07T00:00:00Z,France,Paris,Paris,
Roger de La Fresnaye,1885-07-11T00:00:00Z,1925-11-27T00:00:00Z,France,Le Mans,Grasse,cubisme
Camille Bernier,1823-05-03T00:00:00Z,1902-05-12T00:00:00Z,France,Colmar,Paris,
Bernard Blommers,1845-01-30T00:00:00Z,1914-12-12T00:00:00Z,Pays-Bas,La Haye,La Haye,École de la Haye
Jan Miel,1599-01-01T00:00:00Z,1663-04-03T00:00:00Z,Pays-Bas méridionaux,Beveren,Turin,peinture baroque flamande
Adèle Ferrand,1817-10-20T00:00:00Z,1848-04-01T00:00:00Z,France,Nancy,Saint-Pierre,
Antoine Vollon,1833-04-20T00:00:00Z,1900-08-27T00:00:00Z,France,Lyon,Paris,
William Quiller Orchardson,1832-03-27T00:00:00Z,1910-04-13T00:00:00Z,Royaume-Uni de Grande-Bretagne et d'Irlande,Édimbourg,Londres,
Paul Gachet,1828-07-30T00:00:00Z,1909-01-09T00:00:00Z,France,Lille,Auvers-sur-Oise,
Jacob van der Ulft,1627-01-01T00:00:00Z,1689-11-18T00:00:00Z,Pays-Bas,Gorinchem,Noordwijk,baroque
Antoine Watteau,1684-10-10T00:00:00Z,1721-07-18T00:00:00Z,"France,royaume de France",Valenciennes,Nogent-sur-Marne,rococo
Charles Errard,1606-01-01T00:00:00Z,1689-05-25T00:00:00Z,France,Nantes,Rome,
Fra-Bartolommeo,1472-04-06T00:00:00Z,1517-10-31T00:00:00Z,République florentine,Prato,Florence,Renaissance
Eugène Appert,1814-12-28T00:00:00Z,1867-03-08T00:00:00Z,France,Angers,Cannes,
Amaury-Duval,1808-04-16T00:00:00Z,1885-12-26T00:00:00Z,France,Montrouge,Paris,art académique
Pierre de Francqueville,1548-01-01T00:00:00Z,1616-01-01T00:00:00Z,"France,France,France",Cambrai,Paris,maniérisme
Ernest-Eugène Hiolle,1834-05-05T00:00:00Z,1886-10-05T00:00:00Z,France,Paris,Bois-le-Roi,
Василий Васильевич Кандинский,1866-12-16T00:00:00Z,1944-12-14T00:00:00Z,"France,France,France,France,République socialiste fédérative soviétique de Russie,République socialiste fédérative soviétique de Russie,République socialiste fédérative soviétique de Russie,République socialiste fédérative soviétique de Russie,Union des républiques socialistes soviétiques,Union des républiques socialistes soviétiques,Union des républiques socialistes soviétiques,Union des républiques socialistes soviétiques,Empire russe,Empire russe,Empire russe,Empire russe,Reich allemand,Reich allemand,Reich allemand,Reich allemand",Moscou,Neuilly-sur-Seine,expressionnisme
Sébastien Bourdon,1616-02-02T00:00:00Z,1671-05-08T00:00:00Z,France,Montpellier,Paris,
Ferdinand Hodler,1853-03-14T00:00:00Z,1918-05-19T00:00:00Z,"Suisse,Suisse",Berne,Genève,Art nouveau
François Watteau,1758-08-18T00:00:00Z,1823-12-01T00:00:00Z,France,Valenciennes,Lille,
Camille Alfred Pabst,1828-06-18T00:00:00Z,1898-09-30T00:00:00Z,France,Heiteren,17e arrondissement de Paris,
Jean Lurçat,1892-07-01T00:00:00Z,1966-01-06T00:00:00Z,France,Bruyères,Saint-Paul-de-Vence,
Louis-Michel van Loo,1707-03-02T00:00:00Z,1771-03-20T00:00:00Z,France,Toulon,Paris,classicisme
François-André Vincent,1746-12-30T00:00:00Z,1816-08-04T00:00:00Z,"France,France",Paris,Paris,néo-classicisme
Albert Marquet,1875-03-27T00:00:00Z,1947-06-14T00:00:00Z,France,Bordeaux,Paris,fauvisme
Jean-Baptiste Farochon,1812-03-10T00:00:00Z,1871-07-01T00:00:00Z,France,Paris,Paris,
Paul Baudry,1828-11-07T00:00:00Z,1886-01-17T00:00:00Z,France,La Roche-sur-Yon,Paris,art académique
Martin-Guillaume Biennais,1764-05-29T00:00:00Z,1843-03-27T00:00:00Z,"France,France",La Cochère,Le Mesnil-Saint-Denis,
Amedeo Modigliani,1884-07-12T00:00:00Z,1920-01-24T00:00:00Z,royaume d'Italie,Livourne,Paris,art moderne
Adolphe Steinheil,1850-03-10T00:00:00Z,1908-05-31T00:00:00Z,France,Paris,Paris,
giotto,1240-01-01T00:00:00Z,1302-01-01T00:00:00Z,République florentine,Florence,Pise,Trecento
Jean-Baptiste Camille Corot,1796-07-16T00:00:00Z,1875-02-28T00:00:00Z,"France,France,France,France,France,France,France,France",rue du Bac,rue du Faubourg-Poissonnière,réalisme
Antoine Monnoyer,1671-01-01T00:00:00Z,1747-01-01T00:00:00Z,France,Paris,Saint-Germain-en-Laye,
Edmond Aman-Jean,1858-11-13T00:00:00Z,1936-01-25T00:00:00Z,France,Chevry-Cossigny,Paris,
Leonetto Cappiello,1875-04-09T00:00:00Z,1942-02-02T00:00:00Z,France,Livourne,Cannes,
Ludwig Knaus,1829-10-05T00:00:00Z,1910-12-07T00:00:00Z,royaume de Prusse,Wiesbaden,Berlin,
Alexandre Séon,1855-01-01T00:00:00Z,1917-01-01T00:00:00Z,France,Chazelles-sur-Lyon,Paris,
William Bouguereau,1825-11-30T00:00:00Z,1905-08-19T00:00:00Z,"Troisième République française,Deuxième République,royaume de France,Second Empire,Troisième République française,Deuxième République,royaume de France,Second Empire",La Rochelle,La Rochelle,art académique
William Bouguereau,1825-11-30T00:00:00Z,1905-08-19T00:00:00Z,"royaume de France,Second Empire,Troisième République française,Deuxième République,royaume de France,Second Empire,Troisième République française,Deuxième République",La Rochelle,La Rochelle,art académique
William Bouguereau,1825-11-30T00:00:00Z,1905-08-19T00:00:00Z,"Deuxième République,Troisième République française,royaume de France,Second Empire,Deuxième République,Troisième République française,royaume de France,Second Empire",La Rochelle,La Rochelle,art académique
William Bouguereau,1825-11-30T00:00:00Z,1905-08-19T00:00:00Z,"royaume de France,Deuxième République,Troisième République française,Second Empire,royaume de France,Deuxième République,Troisième République française,Second Empire",La Rochelle,La Rochelle,art académique
Леонид Пастернак,1862-04-03T00:00:00Z,1945-05-31T00:00:00Z,"Union des républiques socialistes soviétiques,Empire russe",Odessa,Oxford,postimpressionnisme
Henry Fuseli,1741-02-07T00:00:00Z,1825-04-16T00:00:00Z,"Suisse,Suisse,Royaume-Uni,Royaume-Uni,Suisse,Suisse,Royaume-Uni,Royaume-Uni,Suisse,Suisse,Royaume-Uni,Royaume-Uni",Zurich,Putney,néo-classicisme
Auguste Vinchon,1789-08-05T00:00:00Z,1855-08-16T00:00:00Z,France,Paris,Bad Ems,
Alexandre Falguière,1831-09-07T00:00:00Z,1900-04-19T00:00:00Z,France,Toulouse,Paris,réalisme
Claude Marie Paul Dubufe,1790-01-01T00:00:00Z,1864-04-24T00:00:00Z,France,Paris,La Celle-Saint-Cloud,
Alfred Boucher,1850-09-23T00:00:00Z,1934-08-18T00:00:00Z,"France,France",Bouy-sur-Orvin,Aix-les-Bains,
François Puget,1651-12-17T00:00:00Z,1707-10-06T00:00:00Z,France,Toulon,Marseille,
Jean Aujame,1905-05-12T00:00:00Z,1965-07-05T00:00:00Z,France,Aubusson,Allier,
Nicolas Tournier,1590-07-12T00:00:00Z,1630-01-01T00:00:00Z,France,Montbéliard,Toulouse,
Marie-Nicolas Ponce-Camus,,,France,,,
Pierre-Narcisse Guérin,1774-03-13T00:00:00Z,1833-07-16T00:00:00Z,France,Paris,Rome,néo-classicisme
Charles Percier,1764-08-22T00:00:00Z,1838-09-05T00:00:00Z,France,Paris,Paris,néo-classicisme
Louis Petitot,1794-06-23T00:00:00Z,1862-06-01T00:00:00Z,France,Paris,Paris,
Adam Frans van der Meulen,1632-01-11T00:00:00Z,1690-10-15T00:00:00Z,"royaume de France,Pays-Bas méridionaux",Bruxelles,Paris,baroque
Adam Frans van der Meulen,1632-01-11T00:00:00Z,1690-10-15T00:00:00Z,"Pays-Bas méridionaux,royaume de France",Bruxelles,Paris,baroque
François Vincent Latil,1796-02-02T00:00:00Z,1890-03-04T00:00:00Z,France,Aix-en-Provence,Ariège,
Lubin Baugin,1612-01-01T00:00:00Z,1663-07-18T00:00:00Z,France,Pithiviers,Paris,
Albert Clouard,,,France,,,
Jean-François-Joseph Bellel,1816-01-28T00:00:00Z,1898-11-13T00:00:00Z,France,Paris,9e arrondissement de Paris,
Antoine-Claude Fleury,,,France,,,
Auguste de Creuse,,,France,,,
Giovanni Boldini,1842-12-31T00:00:00Z,1931-07-11T00:00:00Z,"royaume d'Italie,royaume d'Italie,royaume d'Italie",Ferrare,Paris,Macchiaioli
Nicolas-Bernard Lépicié,1735-06-16T00:00:00Z,1784-09-15T00:00:00Z,France,Paris,Paris,
Anthonie van Borssom,1631-01-01T00:00:00Z,1677-03-19T00:00:00Z,Pays-Bas,Amsterdam,Amsterdam,baroque
Albert Lebourg,1849-02-01T00:00:00Z,1928-01-06T00:00:00Z,"France,France,France",Montfort-sur-Risle,Rouen,impressionnisme
Francesco Guardi,1712-10-05T00:00:00Z,1793-01-01T00:00:00Z,"république de Venise,république de Venise",Venise,Venise,rococo
Alberto Giacometti,1901-10-10T00:00:00Z,1966-01-12T00:00:00Z,"Suisse,France",Borgonovo,Coire,surréalisme
Wolf Huber,1485-01-01T00:00:00Z,1553-06-13T00:00:00Z,"Autriche,Allemagne",Feldkirch,Passau,
Jacques Bousseau,1681-03-17T00:00:00Z,1740-02-13T00:00:00Z,France,Chavagnes-en-Paillers,Madrid,
Ernest de Chamaillard,1862-12-09T00:00:00Z,1931-09-30T00:00:00Z,"France,France",Gourlizon,Eaubonne,École de Pont-Aven
محمد الحبيب باي,1858-08-13T00:00:00Z,1929-02-13T00:00:00Z,Tunisie,Le Bardo,Carthage,
Paul Delaroche,1797-07-17T00:00:00Z,1856-11-04T00:00:00Z,France,Paris,Paris,
Frédéric Samuel Cordey,1854-07-09T00:00:00Z,1911-02-18T00:00:00Z,France,Paris,Paris,impressionnisme
Hans Baldung,1484-01-01T00:00:00Z,1545-09-01T00:00:00Z,Allemagne,Schwäbisch Gmünd,Strasbourg,Renaissance allemande
Guy François,1580-11-20T00:00:00Z,1650-10-05T00:00:00Z,France,Le Puy-en-Velay,Le Puy-en-Velay,
Louis-Jules Dumoulin,1860-10-18T00:00:00Z,1924-12-05T00:00:00Z,France,Paris,Paris,
Jean-Baptiste Blanchard,1602-01-01T00:00:00Z,1665-01-01T00:00:00Z,France,Paris,Paris,
Nicolas-Toussaint Charlet,1792-12-20T00:00:00Z,1845-12-30T00:00:00Z,France,Paris,Paris,
Dominique Papety,1815-08-12T00:00:00Z,1849-09-19T00:00:00Z,France,Marseille,Marseille,
"Jules, Joseph, Étienne, Istres Contencin",1851-12-26T00:00:00Z,1925-01-01T00:00:00Z,France,Istres,Illifaut,
Nicolaus Knüpfer,1609-01-01T00:00:00Z,1660-01-01T00:00:00Z,"Pays-Bas,Pays-Bas",Leipzig,Utrecht,peinture baroque
James Tissot,1836-10-15T00:00:00Z,1902-08-08T00:00:00Z,France,Nantes,Chenecey-Buillon,japonisme
François Masson,1745-01-01T00:00:00Z,1807-12-18T00:00:00Z,France,La Vieille-Lyre,Paris,
Jacques Raymond Brascassat,1804-08-30T00:00:00Z,1867-02-28T00:00:00Z,France,Bordeaux,9e arrondissement de Paris,
