nomcreateur,datenaissance,datemort,nationalité,lieunaissance,lieumort,mouvement
Henri-Horace Roland Delaporte,1724-01-01T00:00:00Z,1793-11-23T00:00:00Z,France,Paris,Paris,
Jean-Bernard Restout,1732-02-22T00:00:00Z,1797-07-18T00:00:00Z,royaume de France,Paris,Paris,
Jules Lefebvre,1834-03-14T00:00:00Z,1912-02-24T00:00:00Z,Français,Tournan-en-Brie,9e arrondissement de Paris,art académique
Jean-Baptiste Pigalle,1714-01-26T00:00:00Z,1785-08-20T00:00:00Z,France,Rueil-Malmaison,Paris,néo-classicisme
Jules-Élie Delaunay,1828-06-13T00:00:00Z,1891-09-05T00:00:00Z,France,Nantes,Paris,
Louis Léopold Boilly,1761-07-05T00:00:00Z,1845-01-04T00:00:00Z,France,La Bassée,Paris,
Léon Riesener,1808-01-21T00:00:00Z,1878-05-25T00:00:00Z,France,Paris,Paris,romantisme
Charles Paul Landon,1761-10-12T00:00:00Z,1826-03-05T00:00:00Z,France,Nonant-le-Pin,Paris,
Jean Bouchaud,1891-10-29T00:00:00Z,1977-05-06T00:00:00Z,France,Saint-Herblain,Nantes,orientalisme
Augustin-Louis Belle,1757-01-01T00:00:00Z,1841-01-12T00:00:00Z,France,Paris,Paris,
Charles François Lacroix de Marseille,1700-01-01T00:00:00Z,1782-11-01T00:00:00Z,France,Marseille,Berlin,
Martin Ferdinand Quadal,1736-10-28T00:00:00Z,1811-01-01T00:00:00Z,Autriche,Němčičky,Saint-Pétersbourg,
Alexis Bafcop,1804-11-06T00:00:00Z,1895-02-09T00:00:00Z,France,Cassel,Cassel,
Albrecht Dürer,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,Duché de Bavière,Nuremberg,Nuremberg,Renaissance allemande
Alexandre Bloch,1857-05-29T00:00:00Z,1919-11-11T00:00:00Z,France,Paris,20e arrondissement de Paris,
Pierre-Félix Masseau,1869-03-17T00:00:00Z,1937-04-16T00:00:00Z,France,Lyon,9e arrondissement de Paris,
Camille Bernier,1823-05-03T00:00:00Z,1902-05-12T00:00:00Z,France,Colmar,Paris,
Fleury François Richard,1777-02-25T00:00:00Z,1852-03-14T00:00:00Z,France,Lyon,Écully,
Anne Vallayer-Coster,1744-12-21T00:00:00Z,1818-02-28T00:00:00Z,"France,royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande",Paris,Paris,
Anne Vallayer-Coster,1744-12-21T00:00:00Z,1818-02-28T00:00:00Z,"France,Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne",Paris,Paris,
Fernand Khnopff,1858-09-12T00:00:00Z,1921-11-12T00:00:00Z,Belgique,Grembergen,Bruxelles,symbolisme
François Popineau,1887-10-02T00:00:00Z,1951-03-29T00:00:00Z,France,Saint-Amand-Montrond,Paris,
Guillaume Dubufe,1853-05-16T00:00:00Z,1909-05-25T00:00:00Z,France,Paris,Buenos Aires,
Charles Gomien,1808-04-25T00:00:00Z,1876-04-12T00:00:00Z,France,Villers-lès-Nancy,8e arrondissement de Paris,
Clémentine-Hélène Dufau,1869-08-18T00:00:00Z,1937-03-18T00:00:00Z,France,Quinsac,Paris,
Auguste Ottin,1811-11-11T00:00:00Z,1890-12-07T00:00:00Z,France,Paris,Neuilly-sur-Seine,
Johann Heinrich Füssli,1741-02-07T00:00:00Z,1825-04-16T00:00:00Z,"Suisse,Royaume-Uni",Zurich,Putney,néo-classicisme
Adriaen van de Velde,1636-11-30T00:00:00Z,1672-01-21T00:00:00Z,Pays-Bas,Amsterdam,Amsterdam,
Ludovic-Napoléon Lepic,1839-12-17T00:00:00Z,1889-10-27T00:00:00Z,France,Paris,Paris,impressionnisme
Ignacio Zuloaga,1870-07-26T00:00:00Z,1945-10-31T00:00:00Z,Espagne,Eibar,Madrid,
Antoine Vestier,1740-04-28T00:00:00Z,1824-12-24T00:00:00Z,France,Avallon,Paris,
Eugène Appert,1814-12-28T00:00:00Z,1867-03-08T00:00:00Z,France,Angers,Cannes,
Antoine Caron,1521-01-01T00:00:00Z,1599-01-01T00:00:00Z,France,Beauvais,Paris,École de Fontainebleau
Luca Penni,1500-01-01T00:00:00Z,1556-01-01T00:00:00Z,Italie,Florence,Paris,
Cuno Amiet,1868-03-28T00:00:00Z,1961-07-06T00:00:00Z,Suisse,Soleure,Oschwand,École de Pont-Aven
Guillaume Boichot,1735-08-30T00:00:00Z,1814-12-09T00:00:00Z,France,Chalon-sur-Saône,Paris,
Jean-Baptiste Belin,1653-11-09T00:00:00Z,1715-12-02T00:00:00Z,France,Caen,Paris,
Gustave Courbet,1819-06-10T00:00:00Z,1877-12-31T00:00:00Z,France,Ornans,La Tour-de-Peilz,réalisme
Félix Lecomte,1737-01-16T00:00:00Z,1817-01-11T00:00:00Z,France,Paris,Paris,
Jean-Baptiste-Jules Klagmann,1810-04-01T00:00:00Z,1867-01-18T00:00:00Z,France,Paris,Paris,
Claude André Deseine,1740-01-01T00:00:00Z,1823-12-30T00:00:00Z,France,Paris,Gentilly,
François Puget,1651-12-17T00:00:00Z,1707-10-06T00:00:00Z,France,Toulon,Marseille,
Théophile Gautier,1811-08-31T00:00:00Z,1872-10-23T00:00:00Z,France,Tarbes,Neuilly-sur-Seine,romantisme
Jean-Étienne Liotard,1702-12-22T00:00:00Z,1789-06-12T00:00:00Z,République de Genève,Genève,Genève,
François Clouet,1510-01-01T00:00:00Z,1572-09-22T00:00:00Z,France,Tours,Paris,
Eugène Ernest Hillemacher,1818-10-13T00:00:00Z,1887-03-03T00:00:00Z,France,Paris,Paris,art académique
Albert Marquet,1875-03-27T00:00:00Z,1947-06-14T00:00:00Z,France,Bordeaux,Paris,fauvisme
Ary Scheffer,1795-02-10T00:00:00Z,1858-06-15T00:00:00Z,"Pays-Bas,France",Dordrecht,Argenteuil,romantisme
Alphonse Osbert,1857-03-23T00:00:00Z,1939-08-11T00:00:00Z,France,Paris,Paris,symbolisme
Maurice Utrillo,1883-12-26T00:00:00Z,1955-11-05T00:00:00Z,France,Montmartre,Dax,École de Paris
Édouard Manet,1832-01-23T00:00:00Z,1883-04-30T00:00:00Z,France,Paris,8e arrondissement de Paris,impressionnisme
Hubert-Denis Etcheverry,1867-09-21T00:00:00Z,1952-04-03T00:00:00Z,France,Bayonne,Bayonne,Art déco
Jean Pillement,1728-05-24T00:00:00Z,1808-04-26T00:00:00Z,France,Lyon,Lyon,rococo
Gustave Stoskopf,1869-07-08T00:00:00Z,1944-12-06T00:00:00Z,France,Brumath,Brumath,
Jean-Antoine Houdon,1741-03-20T00:00:00Z,1828-07-20T00:00:00Z,France,Versailles,Paris,
Viktor Weißhaupt,1848-03-06T00:00:00Z,1905-02-23T00:00:00Z,Allemagne,Munich,Karlsruhe,
Jean-Joseph Vinache,1696-01-01T00:00:00Z,1754-12-01T00:00:00Z,France,Paris,Paris,
Victor Vignon,1847-12-25T00:00:00Z,1909-03-15T00:00:00Z,France,Villers-Cotterêts,Meulan-en-Yvelines,
Jean-François Colson,1733-03-02T00:00:00Z,1803-03-01T00:00:00Z,France,Dijon,Paris,
Félix Trutat,1824-02-25T00:00:00Z,1848-03-07T00:00:00Z,France,Dijon,Dijon,réalisme
Eugène Guillaume,1822-07-04T00:00:00Z,1905-03-01T00:00:00Z,France,Montbard,Rome,
François Masson,1745-01-01T00:00:00Z,1807-12-18T00:00:00Z,France,La Vieille-Lyre,Paris,
Émile Vernet-Lecomte,1821-03-15T00:00:00Z,1900-11-19T00:00:00Z,France,Paris,7e arrondissement de Paris,
Alexandre-François Caminade,1789-12-14T00:00:00Z,1862-05-01T00:00:00Z,France,Paris,Versailles,
Antoine Pesne,1683-05-29T00:00:00Z,1757-08-05T00:00:00Z,France,Paris,Berlin,rococo
Ernest-Eugène Hiolle,1834-05-05T00:00:00Z,1886-10-05T00:00:00Z,France,Paris,Bois-le-Roi,
Henri Martin,1860-08-05T00:00:00Z,1943-11-12T00:00:00Z,France,Toulouse,France,impressionnisme
Ernest Victor Hareux,1847-02-18T00:00:00Z,1909-02-16T00:00:00Z,France,Paris,Grenoble,
Pompeo Girolamo Battoni,1708-01-25T00:00:00Z,1787-02-04T00:00:00Z,Italie,Lucques,Rome,classicisme
Roger de La Fresnaye,1885-07-11T00:00:00Z,1925-11-27T00:00:00Z,France,Le Mans,Grasse,cubisme
Jean Leppien,1910-04-08T00:00:00Z,1991-10-19T00:00:00Z,"France,Allemagne",Lunebourg,Courbevoie,
Ivo Hauptmann,1886-02-09T00:00:00Z,1973-09-28T00:00:00Z,Allemagne,Erkner,Berlin,
Augustin Pajou,1730-09-19T00:00:00Z,1809-05-08T00:00:00Z,France,Paris,Paris,
Louis Le Nain,1593-01-01T00:00:00Z,1648-05-23T00:00:00Z,France,Laon,Paris,
Horace Vernet,1789-06-30T00:00:00Z,1863-01-17T00:00:00Z,France,Paris,Paris,romantisme
Albert Dagnaux,1861-07-10T00:00:00Z,1933-11-22T00:00:00Z,France,Paris,Mantes-la-Jolie,impressionnisme
Alonso Berruguete,1486-01-01T00:00:00Z,1561-09-01T00:00:00Z,Espagne,Paredes de Nava,Tolède,
Antonio Mancini,1852-11-14T00:00:00Z,1930-12-28T00:00:00Z,royaume d'Italie,Albano Laziale,Rome,
Michel Corneille le Jeune,1642-01-01T00:00:00Z,1708-08-16T00:00:00Z,France,Paris,Paris,
Gustave Louis Jaulmes,1873-04-14T00:00:00Z,1959-01-07T00:00:00Z,France,Lausanne,Paris,
Pierre-Jacques Cazes,1676-01-01T00:00:00Z,1754-06-25T00:00:00Z,France,Paris,Paris,
Christophe Veyrier,1637-06-25T00:00:00Z,1689-06-10T00:00:00Z,France,Trets,Toulon,
Jean-Bruno Gassies,1786-10-25T00:00:00Z,1832-10-12T00:00:00Z,France,Bordeaux,Paris,néo-classicisme
Jean Lemaire,1598-01-01T00:00:00Z,1659-01-01T00:00:00Z,France,Dammartin-en-Goële,Gaillon,
Jheronimus Bosch,1450-01-01T00:00:00Z,1516-08-01T00:00:00Z,Pays-Bas méridionaux,Bois-le-Duc,Bois-le-Duc,Primitif flamand
Lionel Royer,1852-12-25T00:00:00Z,1926-06-30T00:00:00Z,France,Château-du-Loir,Neuilly-sur-Seine,
Édouard Vuillard,1868-11-11T00:00:00Z,1940-06-21T00:00:00Z,France,Cuiseaux,La Baule-Escoublac,japonisme
Georges de La Tour,1593-03-13T00:00:00Z,1652-01-30T00:00:00Z,duché de Lorraine,Vic-sur-Seille,Lunéville,caravagisme
Валентин Серов,1865-01-19T00:00:00Z,1911-12-05T00:00:00Z,Empire russe,Saint-Pétersbourg,Moscou,impressionnisme
Barthélemy Tremblay,1578-01-01T00:00:00Z,1629-01-01T00:00:00Z,France,Louvres,Paris,
Jacques de Lajoüe,1686-01-01T00:00:00Z,1761-01-01T00:00:00Z,France,Paris,Paris,
Hans Makart,1840-05-29T00:00:00Z,1884-10-03T00:00:00Z,Autriche,Salzbourg,Vienne,
Jean-Baptiste Regnault,1754-10-09T00:00:00Z,1829-11-12T00:00:00Z,France,Paris,Paris,néo-classicisme
齊白石,1864-01-01T00:00:00Z,1957-09-16T00:00:00Z,"République populaire de Chine,dynastie Qing,République de Chine",Xian de Xiangtan,Pékin,
Jean Cardot,1930-07-20T00:00:00Z,2020-10-12T00:00:00Z,France,Saint-Étienne,14e arrondissement de Paris,
Hermann Fidel Winterhalter,1808-09-23T00:00:00Z,1891-02-24T00:00:00Z,grand-duché de Bade,St. Blasien,Karlsruhe,
Bernardo Francesco Paolo Ernesto Bellotto,1722-05-20T00:00:00Z,1780-11-17T00:00:00Z,république de Venise,Venise,Varsovie,
Thomas Lawrence,1769-04-13T00:00:00Z,1830-01-07T00:00:00Z,"Royaume-Uni de Grande-Bretagne et d'Irlande,royaume de Grande-Bretagne",Bristol,Londres,romantisme
Thomas Lawrence,1769-04-13T00:00:00Z,1830-01-07T00:00:00Z,"royaume de Grande-Bretagne,Royaume-Uni de Grande-Bretagne et d'Irlande",Bristol,Londres,romantisme
François-Émile Ehrmann,1833-09-05T00:00:00Z,1910-03-26T00:00:00Z,France,Strasbourg,Paris,symbolisme
James Whistler,1834-07-11T00:00:00Z,1904-07-17T00:00:00Z,"États-Unis,Royaume-Uni",Lowell,Chelsea,symbolisme
Charles-Raphaël Maréchal,1825-04-20T00:00:00Z,1888-04-14T00:00:00Z,France,Metz,Nogent-sur-Marne,
Jan Miel,1599-01-01T00:00:00Z,1663-04-03T00:00:00Z,Pays-Bas méridionaux,Beveren,Turin,peinture baroque flamande
Ernest Quost,1842-02-24T00:00:00Z,1931-03-24T00:00:00Z,France,Avallon,Paris,
Hortense Haudebourt-Lescot,1784-12-14T00:00:00Z,1845-01-02T00:00:00Z,France,Paris,Paris,
Christophe Fratin,1801-01-01T00:00:00Z,1864-08-17T00:00:00Z,France,Metz,Le Raincy,
Simon-Joseph-Alexandre-Clément Denis,1755-04-14T00:00:00Z,1813-01-01T00:00:00Z,Pays-Bas méridionaux,Anvers,Naples,
Adrien Dauzats,1804-07-16T00:00:00Z,1868-02-18T00:00:00Z,France,Bordeaux,Paris,orientalisme
Hippolyte Bonnardel,1824-01-14T00:00:00Z,1856-07-02T00:00:00Z,France,Bonnay,Rome,
Константин Егорович Маковский,1839-07-02T00:00:00Z,1915-09-30T00:00:00Z,Empire russe,Moscou,Saint-Pétersbourg,art académique
Jacopo Bellini,1400-01-01T00:00:00Z,1470-01-01T00:00:00Z,république de Venise,Venise,Venise,Renaissance
Alfred Agache,1843-08-29T00:00:00Z,1915-09-03T00:00:00Z,France,Lille,Cour-sur-Loire,
Pascal Dagnan-Bouveret,1852-01-07T00:00:00Z,1929-07-03T00:00:00Z,France,Paris,Quincey,Naturalisme
Pierre Justin Ouvrié,1806-01-19T00:00:00Z,1879-10-23T00:00:00Z,France,Paris,Rouen,
Guillaume Bodinier,1795-02-09T00:00:00Z,1872-08-24T00:00:00Z,France,Angers,Angers,
Jean-Pierre Dantan,1800-12-28T00:00:00Z,1869-09-06T00:00:00Z,France,Paris,Baden-Baden,
Élisabeth Vigée Le Brun,1755-04-16T00:00:00Z,1842-03-30T00:00:00Z,France,Paris,Paris,néo-classicisme
Henri Villain,1878-06-18T00:00:00Z,1938-11-26T00:00:00Z,France,Châteaudun,Chartres,
Claude-Louis Châtelet,1753-01-01T00:00:00Z,1795-05-07T00:00:00Z,France,Paris,Paris,
Jacques-Edme Dumont,1761-04-10T00:00:00Z,1844-02-21T00:00:00Z,France,Paris,Paris,
Georges Rouault,1871-05-27T00:00:00Z,1958-02-13T00:00:00Z,France,Paris,Paris,expressionnisme
Enguerrand Quarton,1411-01-01T00:00:00Z,1466-01-01T00:00:00Z,France,Laon,Avignon,
Aleksander Kucharski,1741-03-18T00:00:00Z,1819-11-05T00:00:00Z,"Empire russe,République des Deux Nations",Varsovie,Paris,
Peter Snayers,1592-11-24T00:00:00Z,1667-01-01T00:00:00Z,Pays-Bas méridionaux,Anvers,Bruxelles,
Jean-Baptiste Théodon,1645-01-01T00:00:00Z,1713-01-01T00:00:00Z,France,Vendrest,Paris,
Charles-Théodore Frère,1814-06-21T00:00:00Z,1888-03-24T00:00:00Z,France,Paris,Paris,orientalisme
Charles Fouqueray,1869-04-23T00:00:00Z,1956-03-28T00:00:00Z,France,Le Mans,Paris,
Martial Raysse,,,France,,,Nouveau réalisme
Rogier van der Weyden,1390-01-01T00:00:00Z,1464-06-27T00:00:00Z,Pays-Bas bourguignons,Tournai,Bruxelles,Primitif flamand
Lawrence Alma-Tadema,1836-01-08T00:00:00Z,1912-06-25T00:00:00Z,"Belgique,Pays-Bas,Royaume-Uni de Grande-Bretagne et d'Irlande",Dronryp,Wiesbaden,mouvement néo-pompéien
Alexandre Schoenewerk,1820-02-18T00:00:00Z,1885-07-22T00:00:00Z,France,Paris,15e arrondissement de Paris,
Aristide Maillol,1861-12-08T00:00:00Z,1944-09-27T00:00:00Z,France,Banyuls-sur-Mer,Banyuls-sur-Mer,nabi
Auguste Arnaud,1825-08-22T00:00:00Z,1883-09-30T00:00:00Z,France,La Rochelle,Chantilly,
Charles Brocas,1774-01-01T00:00:00Z,1835-01-01T00:00:00Z,France,Toulouse,Paris,
Antonio de La Gandara,1861-12-16T00:00:00Z,1917-06-30T00:00:00Z,France,9e arrondissement de Paris,Paris,
Jannis Kounellis,1936-03-23T00:00:00Z,2017-02-16T00:00:00Z,"Italie,Grèce,royaume d'Italie",Le Pirée,Rome,Arte Povera
Osman Hamdi Bey,1842-12-30T00:00:00Z,1910-02-24T00:00:00Z,Empire ottoman,Istanbul,Istanbul,
Gustave Moreau,1826-04-06T00:00:00Z,1898-04-18T00:00:00Z,France,Paris,Rennes,symbolisme
Giovanni Girolamo Savoldo,1480-01-01T00:00:00Z,1548-01-01T00:00:00Z,république de Venise,Brescia,Venise,
Antoine Laurent Dantan,1798-12-08T00:00:00Z,1878-05-25T00:00:00Z,France,Saint-Cloud,Saint-Cloud,art académique
Charles Parrocel,1688-05-06T00:00:00Z,1752-05-25T00:00:00Z,France,Paris,Paris,
Gaspard Dughet,1613-06-07T00:00:00Z,1675-05-27T00:00:00Z,France,Rome,Rome,
Jacques Verberckt,1704-02-24T00:00:00Z,1771-12-09T00:00:00Z,France,Anvers,Anvers,
Jean Fouquet,1420-01-01T00:00:00Z,1480-01-01T00:00:00Z,France,Tours,Tours,
Henri Lebasque,1865-09-25T00:00:00Z,1937-08-07T00:00:00Z,France,Champigné,Le Cannet,postimpressionnisme
Adolphe Steinheil,1850-03-10T00:00:00Z,1908-05-31T00:00:00Z,France,Paris,Paris,
Anne-Louis Girodet,1767-01-29T00:00:00Z,1824-12-08T00:00:00Z,France,Montargis,Paris,néo-classicisme
Louis Béroud,1852-01-17T00:00:00Z,1930-10-09T00:00:00Z,France,Lyon,Paris,
Louis de Silvestre,1675-06-23T00:00:00Z,1760-04-11T00:00:00Z,France,Sceaux,Paris,
François Guiguet,1860-01-08T00:00:00Z,1937-09-03T00:00:00Z,France,Isère,Isère,
Georg Herold,,,Allemagne,,,art contemporain
Gaspare Diziani,1689-01-24T00:00:00Z,1767-08-17T00:00:00Z,république de Venise,Belluno,Venise,
François Dubois,1790-05-10T00:00:00Z,1871-02-09T00:00:00Z,France,Paris,Paris,orientalisme
Giorgione,1478-01-01T00:00:00Z,1510-01-01T00:00:00Z,république de Venise,Castelfranco Veneto,Venise,Renaissance
Charles Filiger,1863-11-28T00:00:00Z,1928-01-11T00:00:00Z,France,Thann,Plougastel-Daoulas,École de Pont-Aven
François Hippolyte Lalaisse,1810-01-27T00:00:00Z,1884-03-13T00:00:00Z,France,Nancy,6e arrondissement de Paris,
Antoine Vollon,1833-04-20T00:00:00Z,1900-08-27T00:00:00Z,France,Lyon,Paris,
Alfred Dehodencq,1822-04-23T00:00:00Z,1882-01-02T00:00:00Z,France,Paris,Paris,orientalisme
François Truphème,1820-03-23T00:00:00Z,1888-01-22T00:00:00Z,France,Aix-en-Provence,Paris,
Jean-Baptiste Perronneau,1715-01-01T00:00:00Z,1783-11-19T00:00:00Z,France,Paris,Amsterdam,
Théodore Chassériau,,,France,,,romantisme
Henriette Lorimier,1775-08-07T00:00:00Z,1854-04-01T00:00:00Z,France,Paris,Paris,
Jacques Raymond Brascassat,1804-08-30T00:00:00Z,1867-02-28T00:00:00Z,France,Bordeaux,9e arrondissement de Paris,
Abraham Brueghel,1631-11-28T00:00:00Z,1690-01-01T00:00:00Z,Pays-Bas méridionaux,Anvers,Naples,
René Charpentier,1680-01-01T00:00:00Z,1723-05-11T00:00:00Z,France,Cuillé,Paris,
George Hendrik Breitner,1857-09-12T00:00:00Z,1924-01-01T00:00:00Z,Pays-Bas,Rotterdam,Amsterdam,École de la Haye
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Pays-Bas septentrionaux,Leyde,Leyde,
Max Liebermann,1847-07-20T00:00:00Z,1935-02-08T00:00:00Z,Allemagne,Berlin,Berlin,impressionnisme
Martin Fréminet,1567-10-04T00:00:00Z,1619-06-18T00:00:00Z,France,Paris,Paris,École de Fontainebleau
Paul Jamin,1853-02-09T00:00:00Z,1903-07-10T00:00:00Z,France,Paris,Paris,
Hans Memling,1435-01-01T00:00:00Z,1494-08-20T00:00:00Z,"Allemagne,Pays-Bas méridionaux",Seligenstadt,Bruges,Primitif flamand
Gottfried Kneller,1646-08-08T00:00:00Z,1723-10-27T00:00:00Z,"Allemagne,royaume de Grande-Bretagne",Lübeck,Londres,
Eugène Girardet,1853-05-31T00:00:00Z,1907-05-05T00:00:00Z,France,Paris,Paris,orientalisme
Alexandre-Évariste Fragonard,1780-10-26T00:00:00Z,1850-11-11T00:00:00Z,France,Grasse,Paris,style troubadour
Marie-Victoire Lemoine,1754-01-01T00:00:00Z,1820-12-02T00:00:00Z,France,Paris,Paris,
Julie Volpelière,1783-01-01T00:00:00Z,1842-11-07T00:00:00Z,France,Marseille,Paris,
Eugène Murer,1845-05-20T00:00:00Z,1906-04-22T00:00:00Z,France,Moulins,Auvers-sur-Oise,impressionnisme
Catherine Girardon,1630-11-12T00:00:00Z,1698-09-21T00:00:00Z,France,Paris,Paris,
Alfred Beau,1829-07-23T00:00:00Z,1907-02-11T00:00:00Z,France,Morlaix,Quimper,
Sebald Beham,1500-01-01T00:00:00Z,1550-12-02T00:00:00Z,"Allemagne,cité libre impériale de Nuremberg",Nuremberg,Francfort-sur-le-Main,Renaissance allemande
Jean-Baptiste de La Rose,1612-01-01T00:00:00Z,1687-01-01T00:00:00Z,France,Marseille,Toulon,
Jean-François Millet,1814-10-04T00:00:00Z,1875-01-20T00:00:00Z,France,Gréville-Hague,Barbizon,réalisme
Pierre Louis Rouillard,1820-01-16T00:00:00Z,1881-06-02T00:00:00Z,France,Paris,Paris,
Samuel van Hoogstraten,1627-08-02T00:00:00Z,1678-10-19T00:00:00Z,Pays-Bas,Dordrecht,Dordrecht,baroque
Pierre Subleyras,1699-11-25T00:00:00Z,1749-05-28T00:00:00Z,France,Saint-Gilles,Rome,
Fernand Cormon,1845-12-24T00:00:00Z,1924-03-20T00:00:00Z,France,Paris,Paris,art académique
François-Léon Benouville,1821-03-30T00:00:00Z,1859-02-16T00:00:00Z,France,Paris,Paris,art académique
Charles Milcendeau,1872-07-18T00:00:00Z,1919-04-02T00:00:00Z,France,Soullans,Soullans,
Théobald Chartran,1849-07-20T00:00:00Z,1907-07-16T00:00:00Z,France,Besançon,Neuilly-sur-Seine,
Auguste Couder,1789-04-01T00:00:00Z,1873-07-21T00:00:00Z,France,Paris,Paris,
Pieter Bruegel de Oude,1526-01-01T00:00:00Z,1569-09-19T00:00:00Z,Pays-Bas des Habsbourg,Bréda,Bruxelles,Renaissance flamande
Piero della Francesca,1416-01-01T00:00:00Z,1492-10-21T00:00:00Z,Italie,Sansepolcro,Sansepolcro,Première Renaissance
Tancrède Bastet,1858-04-16T00:00:00Z,1942-05-12T00:00:00Z,France,Isère,Grenoble,
Peter Vilhelm Ilsted,1861-02-14T00:00:00Z,1933-04-16T00:00:00Z,Danemark,Sakskøbing,Copenhague,
Meindert Hobbema,1638-10-31T00:00:00Z,1709-12-07T00:00:00Z,"Pays-Bas,Provinces-Unies",Amsterdam,Amsterdam,
Auguste Pointelin,1839-06-23T00:00:00Z,1933-04-09T00:00:00Z,France,Arbois,Paris,
Alexander Keirincx,1600-01-23T00:00:00Z,1652-10-07T00:00:00Z,"Pays-Bas méridionaux,Provinces-Unies",Anvers,Amsterdam,peinture baroque flamande
Karl Daubigny,1846-06-09T00:00:00Z,1886-05-23T00:00:00Z,France,Paris,Auvers-sur-Oise,École de Barbizon
José Júlio de Souza Pinto,1856-09-15T00:00:00Z,1939-04-14T00:00:00Z,Portugal,Angra do Heroísmo,Pont-Scorff,réalisme
Alfred Manessier,1911-12-05T00:00:00Z,1993-08-01T00:00:00Z,France,Saint-Ouen,Orléans,
Peter Franchoys,1606-10-20T00:00:00Z,1654-08-11T00:00:00Z,Pays-Bas méridionaux,Malines,Malines,peinture baroque flamande
Guillaume Coustou,1677-11-29T00:00:00Z,1746-02-22T00:00:00Z,France,Lyon,Paris,baroque
Gabriel Robin,1902-05-28T00:00:00Z,1970-07-28T00:00:00Z,France,Nantes,Aulnay-sous-Bois,École de Paris
Pieter Paul Rubens,1577-07-08T00:00:00Z,1640-05-30T00:00:00Z,Pays-Bas espagnols,Siegen,Anvers,peinture baroque flamande
Aureliano de Beruete,1845-09-27T00:00:00Z,1912-01-05T00:00:00Z,Espagne,Madrid,Madrid,
François-Guillaume Ménageot,1744-07-09T00:00:00Z,1816-10-04T00:00:00Z,France,Londres,Paris,
Martin Schongauer,1450-01-01T00:00:00Z,1491-02-11T00:00:00Z,Allemagne,Colmar,Vieux-Brisach,
Paul Cézanne,1839-01-19T00:00:00Z,1906-10-23T00:00:00Z,France,Aix-en-Provence,Aix-en-Provence,postimpressionnisme
Charles Haslewood Shannon,1863-04-26T00:00:00Z,1937-03-18T00:00:00Z,"Royaume-Uni,Royaume-Uni de Grande-Bretagne et d'Irlande",Sleaford,Kew,
Charles Haslewood Shannon,1863-04-26T00:00:00Z,1937-03-18T00:00:00Z,"Royaume-Uni de Grande-Bretagne et d'Irlande,Royaume-Uni",Sleaford,Kew,
Jean-Charles Tardieu,1765-09-03T00:00:00Z,1830-04-03T00:00:00Z,France,Paris,Paris,
Henri Charles Antoine Baron,1816-06-23T00:00:00Z,1885-09-11T00:00:00Z,France,Besançon,Genève,
Jean-Baptiste Roman,1792-10-31T00:00:00Z,1835-02-13T00:00:00Z,France,Paris,Paris,
Pietro da Cortona,1596-11-01T00:00:00Z,1669-05-16T00:00:00Z,Italie,Cortone,Rome,baroque
Jacob Jordaens,1593-05-19T00:00:00Z,1678-10-18T00:00:00Z,Pays-Bas méridionaux,Anvers,Anvers,baroque
Ferdinand Heilbuth,1826-06-27T00:00:00Z,1889-11-19T00:00:00Z,"France,Allemagne",Hambourg,Paris,
Louis Boulanger,1806-03-11T00:00:00Z,1867-03-07T00:00:00Z,France,Verceil,Dijon,
Walter Sickert,1860-05-31T00:00:00Z,1942-01-22T00:00:00Z,"Royaume-Uni,Reich allemand",Munich,Bath,postimpressionnisme
Jean Hélion,1904-04-21T00:00:00Z,1987-10-27T00:00:00Z,France,Couterne,Paris,
Jacques Gruber,1870-01-25T00:00:00Z,1943-02-15T00:00:00Z,France,Sundhouse,Paris,École de Nancy
Ernest Laurent,1859-06-08T00:00:00Z,1929-06-25T00:00:00Z,France,Paris,Bièvres,
Charles Busson,1822-07-15T00:00:00Z,1908-04-04T00:00:00Z,France,Montoire-sur-le-Loir,15e arrondissement de Paris,
François-Frédéric Lemot,1771-11-04T00:00:00Z,1827-05-06T00:00:00Z,France,Lyon,Paris,
文彭,1632-01-01T00:00:00Z,1717-10-13T00:00:00Z,"dynastie Qing,dynastie Ming",Changshu,Changshu,école de Yushan
Albert Durand,,,France,,,
Alberto Giacometti,1901-10-10T00:00:00Z,1966-01-11T00:00:00Z,"Suisse,France",Borgonovo,Coire,surréalisme
Francesco Salviati,1510-01-01T00:00:00Z,1563-11-11T00:00:00Z,duché de Florence,Florence,Rome,maniérisme
Tony Robert-Fleury,1837-09-01T00:00:00Z,1912-12-08T00:00:00Z,France,Paris,Viroflay,
Jules Chéret,1836-06-01T00:00:00Z,1932-09-23T00:00:00Z,France,Paris,Nice,Art nouveau
Eugène Isabey,1803-07-22T00:00:00Z,1886-04-25T00:00:00Z,France,Paris,Montévrain,romantisme
François Antoine Léon Fleury,1804-12-18T00:00:00Z,1859-01-01T00:00:00Z,France,Paris,Paris,
Henry Moret,1856-12-12T00:00:00Z,1913-05-05T00:00:00Z,France,Cherbourg,Paris,impressionnisme
Charles Denet,1853-02-10T00:00:00Z,1939-05-20T00:00:00Z,France,Évreux,Paris,
